protocolVersion         the backup system version
peerID / senderID       the numeric identifier of the Peer
desiredRepDeg           desired replication degree
accessPoint             service access point (RMI Object name)

channelAddr             address of the <channel>
channelPort             port for the <channel>
channelName             the channel name

protocolType            the protocol type
filepath                the file path

state                   the Protocol State object relevant to this operation
packet                  the packet to extract the header from

fields                  the header fields
packet                  the packet that originated the header fields

hash                    textual representation of the hexadecimal values of a SHA256
peer                    the singleton Peer instance
size                    the size of the chunk in KB

ks                      the keystore to use
